#,Project,Tracker,Parent task,Parent task subject,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Total estimated time,Spent time,Total spent time,% Done,Created,Closed,Last updated by,Related issues,Files,Tags,Bug Detected Phase,Bug Injected Phase,Log Type
1133,穿山甲,Story,1129,我的页面样式优化,TODO,Normal,帮助中心,毕艳芳,"",2020-07-17 14:06,"",V0.9,"","","","",0.00,0.00,0,2020-07-17 13:59,"",毕艳芳,"","","","","",""
1132,穿山甲,Story,1129,我的页面样式优化,TODO,Normal,场次使用情况样式变更,毕艳芳,"",2020-07-17 13:58,"",V0.9,"","","","",0.00,0.00,0,2020-07-17 13:58,"","","","","","","",""
1131,穿山甲,Story,1129,我的页面样式优化,TODO,Normal,MR和DSM可以编辑个人信息,毕艳芳,"",2020-07-17 14:15,"",V0.9,"","","","",0.00,0.00,0,2020-07-17 13:56,"",毕艳芳,"","","","","",""
1130,穿山甲,Story,1129,我的页面样式优化,TODO,Normal,我的页面样式修改,毕艳芳,"",2020-07-17 14:15,"",V0.9,"","","","",0.00,0.00,0,2020-07-17 13:55,"",毕艳芳,"","","","","",""
1128,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,列表页搜索和分页，以及操作统一,毕艳芳,"",2020-07-17 13:47,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:47,"","","","","","","",""
1127,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,场次查询支持时间轴方式，方便核对场次,毕艳芳,"",2020-07-17 13:40,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:40,"","","",企业微信截图_0836633e-0ea0-4c4b-ada1-706c69222dc0.png,"","","",""
1126,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,DSM场次变更支持Excel导入的方式,毕艳芳,"",2020-07-17 13:51,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:29,"",毕艳芳,"",DSM场次导入模版.xlsx,"","","",""
1125,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,项目管理列表页查询太慢,毕艳芳,"",2020-07-17 13:26,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:26,"","","","","","","",""
1124,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,穿山甲登录用户管理,毕艳芳,"",2020-07-17 13:25,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:24,"",毕艳芳,"","",咯叽运营,"","",""
1123,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,脑防委场次查询和导出字段统一,毕艳芳,"",2020-07-17 13:19,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:19,"","","","",脑防委,"","",""
